visit_id,tourist_id,place_id,visit_date,rating
3001,101,2001,2023-05-16,5
3002,101,2003,2023-05-17,4
3003,102,2001,2023-05-18,5
3004,103,2002,2023-05-19,4
3005,104,2005,2023-07-21,4
3006,104,2006,2023-07-22,5
3007,105,2007,2023-07-23,5
3008,106,2008,2023-07-24,5
3009,106,2009,2023-07-25,5
3010,107,2010,2023-07-26,4
3011,108,2011,2023-08-13,4
3012,109,2011,2023-08-14,5
3013,110,2012,2023-08-15,4
3014,111,2013,2023-08-16,4
3015,112,2014,2023-08-17,5
3016,113,2015,2023-08-18,4
3017,114,2016,2023-08-19,5
3018,115,2017,2023-08-20,5
3019,115,2018,2023-08-21,4
3020,116,2019,2023-08-22,5
3021,117,2020,2023-08-23,5
3022,118,2021,2023-08-24,4
3023,119,2022,2023-08-25,3
3024,120,2023,2023-08-26,4
3025,121,2024,2023-08-27,5
3026,122,2025,2023-08-28,4
3027,123,2026,2023-08-29,5
3028,123,2027,2023-08-30,4
3029,124,2028,2023-08-31,5
3030,125,2029,2023-09-01,5
3031,126,2030,2023-09-02,4
3032,127,2031,2023-09-03,5
